Facility,TRIF ID,Latitude,Longitude,total_releases_on-off-site_lbs
"TORRANCE REFINING CO LLC.3700 W 190TH ST, TORRANCE CALIFORNIA 90504 (LOS ANGELES)",90509MBLLC3700W,33.855,-118.337,"354,365.60"
"RAIN CII CARBON LLC.1140 JEFFERSON HWY, GRAMERCY LOUISIANA 70052 (ST JAMES PARISH)",70052GRMRC114JE,30.06,-90.667,"351,834.25"
"COFFEYVILLE RESOURCES REFINING & MARKETING.400 N LINDEN, COFFEYVILLE KANSAS 67337 (MONTGOMERY)",67337FRMLNNORTH,37.048,-95.606,"333,911.10"
"PLACID REFINING CO LLC.1940 LOUISIANA HWY 1, N, PORT ALLEN LOUISIANA 70767 (WEST BATON ROUGE PARISH)",70767PLCDR1940L,30.476,-91.208,"315,447.00"
"TOLEDO REFINING CO LLC.1819 WOODVILLE RD, OREGON OHIO 43616 (LUCAS)",43616SNRFN1819W,41.633,-83.502,"307,874.81"
"PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT.1660 W ANAHEIM ST, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",90748NCLLS1660W,33.774,-118.291,"306,796.20"
"HAVERHILL COKE CO LLC.2446 GALLIA PIKE, FRANKLIN FURNACE OHIO 45629 (SCIOTO)",4562WHVRHL2446G,38.601,-82.825,"302,317.08"
"HOLLYFRONTIER TULSA REFINING LLC EAST FACILITY.902 W 25TH ST, TULSA OKLAHOMA 74107 (TULSA)",74107SNCLR902W2,36.123,-96,"277,041.20"
"ST PAUL PARK REFINING CO LLC.301 ST PAUL PARK RD, SAINT PAUL PARK MINNESOTA 55071 (WASHINGTON)",55071SHLND100WT,44.851,-93.002,"274,562.37"
"AFTON CHEMICAL CORP.501 MONSANTO AVE, SAUGET ILLINOIS 62201 (ST CLAIR)",62201THYLPMONSA,38.603,-90.167,"270,856.04"
"HOUSTON REFINING LP.12000 LAWNDALE ST, HOUSTON TEXAS 77017 (HARRIS)",77017LYNDL12000,29.713,-95.236,"263,485.25"
"CHS INC  LAUREL REFINERY.803 HWY 212 S, LAUREL MONTANA 59044 (YELLOWSTONE)",59044CNXRF803HI,45.659,-108.768,"256,227.50"
"CERTAINTEED CORP.200 CERTAINTEED RD, OXFORD NORTH CAROLINA 27565 (GRANVILLE)",27565CRTNT200CE,36.293,-78.613,"256,109.74"
"LION OIL CO.1000 MCHENRY AVE, EL DORADO ARKANSAS 71730 (UNION)",71730LNLRF1000M,33.2,-92.675,"255,105.04"
"PASADENA REFINING SYSTEM INC.111 RED BLUFF RD, PASADENA TEXAS 77506 (HARRIS)",77506CRWNC111RE,29.724,-95.209,"240,123.66"
"MARATHON PETROLEUM CO LP (PART).502 10TH ST S, TEXAS CITY TEXAS 77590 (GALVESTON)",77590MRTHNFOOTO,29.379,-94.909,"233,852.90"
"HOLLYFRONTIER TULSA REFINING WEST FACILITY.1700 S UNION, TULSA OKLAHOMA 74107 (TULSA)",74107SNRFN1700S,36.139,-96.025,"230,883.30"
"BP CHERRY POINT REFINERY.4519 GRANDVIEW RD, BLAINE WASHINGTON 98230 (WHATCOM)",98248RCCHR4519G,48.886,-122.735,"224,295.18"
"PHILLIPS 66 FERNDALE REFINERY.3901 UNICK RD, FERNDALE WASHINGTON 98248 (WHATCOM)",98248MBLLC3901U,48.83,-122.692,"221,390.48"
"TESORO REFINING & MARKETING CO LLC.W MARCH POINT RD, ANACORTES WASHINGTON 98221 (SKAGIT)",98221SHLLLWESTM,48.49,-122.564,"218,787.89"
"CALUMET LUBRICANTS & WAXES LLC.3333 MIDWAY ST, SHREVEPORT LOUISIANA 71109 (CADDO)",71109TLSPR3333M,32.471,-93.791,"218,274.36"
"CHEVRON PRODUCTS CO - SALT LAKE REFINERY.2351 NORTH 1100 WEST, SALT LAKE CITY UTAH 84116 (SALT LAKE)",84116CHVRN2351N,40.825,-111.924,"218,041.63"
"WYNNEWOOD REFINING CO.906 S POWELL AVE, WYNNEWOOD OKLAHOMA 73098 (GARVIN)",73098KRRMC906SO,34.63,-97.169,"209,030.12"
"HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY.501 E MAIN ST, ARTESIA NEW MEXICO 88210 (EDDY)",88210NVJRF501EA,32.849,-104.394,"201,387.30"
"HOLLYFRONTIER WOODS CROSS REFINING LLC.393 S 800 W, WOODS CROSS UTAH 84087 (DAVIS)",84087PHLLP393SO,40.886,-111.905,"200,557.70"
"HERITAGE-CRYSTAL CLEAN LLC - RE-REFINERY.3970 W 10TH ST, INDIANAPOLIS INDIANA 46222 (MARION)",46222CRYST3970W,39.781,-86.225,"199,973.00"
"TESORO REFINING & MARKETING CO LLC.474 W 900 N, SALT LAKE CITY UTAH 84103 (SALT LAKE)",84103MCLCM474WE,40.789,-111.904,"199,735.00"
"HOLLYFRONTIER CHEYENNE REFINING LLC.2700 E. 5TH STREET, CHEYENNE WYOMING 82007 (LARAMIE)",82007FRNTR2700E,41.128,-104.788,"195,127.50"
"EXXONMOBIL BILLINGS REFINERY.700 EXXONMOBIL RD, BILLINGS MONTANA 59101 (YELLOWSTONE)",59101XXNBL700EX,45.814,-108.433,"187,024.20"
"CITGO PETROLEUM CORP LEMONT REFINERY.135TH ST & NEW AVE, LEMONT ILLINOIS 60439 (WILL)",60439NCLCR135TH,41.648,-88.055,"176,631.60"
"ULTRAMAR INC WILMINGTON REFINERY.2402 E. ANAHEIM STREET, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",90748NNPCF2402E,33.778,-118.235,"171,298.30"
"SAFETY-KLEEN SYSTEMS INC.601 RILEY RD, EAST CHICAGO INDIANA 46312 (LAKE)",46312SFTYK601RI,41.648,-87.482,"166,675.52"
"SINCLAIR WYOMING REFINING CO.100 E LINCOLN AVE, SINCLAIR WYOMING 82334 (CARBON)",82334SNCLREASTL,41.779,-107.104,"166,381.80"
"SUNOCO LLC-RACE FUELS.100 GREEN ST, MARCUS HOOK PENNSYLVANIA 19061 (DELAWARE)",19061SNRFNGREEN,39.815,-75.422,"165,921.40"
"GATEWAY ENERGY & COKE CO.2585 EDWARDSVILLE ROAD, GRANITE CITY ILLINOIS 62040 (MADISON)",6204WGTWYN2585E,38.695,-90.134,"165,390.19"
"LIMA REFINING CO.1150 S METCALF ST, LIMA OHIO 45804 (ALLEN)",45804SHLCM1150S,40.721,-84.123,"162,374.83"
"MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV.1300 S FORT ST HES DEPT, DETROIT MICHIGAN 48217 (WAYNE)",48217MRTHN1300S,42.282,-83.159,"161,557.85"
"WESTERN REFINING SOUTHWEST INC-GALLUP REFINERY.I-40 EXIT 39, JAMESTOWN NEW MEXICO 87347 (MCKINLEY)",87301GNTRFROUTE,35.49,-108.425,"160,771.78"
"CHS MCPHERSON REFINERY.2000 S MAIN ST, MCPHERSON KANSAS 67460 (MCPHERSON)",67460NTNLC2000M,38.347,-97.674,"157,633.91"
"EES COKE BATTERY LLC.1400 ZUG ISLAND, RIVER ROUGE MICHIGAN 48218 (WAYNE)",48218SCKBT14ZUG,42.27,-83.136,"155,894.00"
"CALUMET SUPERIOR LLC.2407 STINSON AVE, SUPERIOR WISCONSIN 54880 (DOUGLAS)",54880MRPHY24THA,46.692,-92.072,"149,770.00"
"VALERO REFINING - MERAUX LLC MERAUX REFINERY.2500 E ST BERNARD HWY, MERAUX LOUISIANA 70075 (ST BERNARD PARISH)",70075MRPHY2500E,29.93,-89.944,"148,725.00"
"SUNCOR ENERGY COMMERCE CITY REFINERY.5801 BRIGHTON BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",80022CNCDN5801B,39.806,-104.944,"148,168.57"
"LUBRICATING SPECIALTIES CO.3365 E SLA US ON AVE, VERNON CALIFORNIA 90058 (LOS ANGELES)",90058LBRCT3365E,33.989,-118.206,"147,428.00"
"SHELL OIL PRODUCTS US - PUGET SOUND REFINERY.8505 SOUTH TEXAS RD, ANACORTES WASHINGTON 98221 (SKAGIT)",98221PGTSN600ST,48.473,-122.56,"136,226.10"
"AMERICAN REFINING GROUP INC.77 N KENDALL AVE, BRADFORD PENNSYLVANIA 16701 (MCKEAN)",16701KNDLL77NKE,41.965,-78.633,"131,906.87"
"US OIL & REFINING CO.3001 MARSHALL AVE, TACOMA WASHINGTON 98421 (PIERCE)",98421SLRFN3001M,47.258,-122.395,"131,633.32"
"MARATHON PETROLEUM CO LP OHIO REFINING DIV.2408 GAMBRINUS AVE SW, CANTON OHIO 44706 (STARK)",44711SHLND2408G,40.773,-81.415,"130,575.55"
"WESTERN EL PASO REFINERY.6500 TROWBRIDGE DR, EL PASO TEXAS 79905 (EL PASO)",79905LPSRF6500T,31.769,-106.402,"117,249.07"
"OXBOW CALCINING LLC.11826 N 30TH ST, KREMLIN OKLAHOMA 73753 (GARFIELD)",73753GRTLKRTE1B,36.519,-97.837,"105,491.70"
"PAR HAWAII REFINING LLC.91-325 KOMOHANA ST, KAPOLEI HAWAII 96707 (HONOLULU)",96707HWNND91325,21.304,-158.094,"104,373.20"
"RAIN CII CARBON LLC.12187 E 950TH AVE, ROBINSON ILLINOIS 62454 (CRAWFORD)",62454CCRBN12187,38.991,-87.72,"104,237.76"
"CALUMET MONTANA REFINING LLC.1900 10TH ST NE, GREAT FALLS MONTANA 59404 (CASCADE)",59414MNTNR19001,47.524,-111.294,"104,042.32"
"VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY.ONE VALERO WAY, ARDMORE OKLAHOMA 73401 (CARTER)",73401TTLPTHIGHW,34.206,-97.104,"98,349.20"
"UNITED REFINING CO.15 BRADLEY ST, WARREN PENNSYLVANIA 16365 (WARREN)",16365NTDRFPOBOX,41.829,-79.125,"96,102.19"
"EAST STORAGE / SPLITTER III FACILITY.316 S MAIN ST, MONT BELVIEU TEXAS 77580 (CHAMBERS)",77580DMNDS316SO,29.84,-94.892,"94,073.30"
"PHILLIPS 66 CARBON PLANT.2101 FRANKLIN CANYON RD, RODEO CALIFORNIA 94572 (CONTRA COSTA)",94572TSCSF2101F,38.016,-122.237,"90,296.42"
"ARCELORMITTAL MONESSEN LLC COKE PLANT.345 DONNER AVE, MONESSEN PENNSYLVANIA 15062 (WESTMORELAND)",15062MNSSN345DO,40.162,-79.883,"87,942.80"
"ARCELORMITTAL CLEVELAND LLC DBA ARCELORMITTAL WARREN.2234 MAIN AVE SW, WARREN OHIO 44481 (TRUMBULL)",44482LTVST2234M,41.211,-80.817,"85,176.72"
"PHILLIPS 66 CO BILLINGS REFINERY.401 S 23RD ST, BILLINGS MONTANA 59101 (YELLOWSTONE)",59101CNCBL401SO,45.78,-108.494,"84,584.90"
"PETROLEUM PRODUCTS SUPPLY LLC.CARRETERA 165 KM 2.4, GUAYNABO PUERTO RICO 00965 (GUAYNABO)",0096WPTRLMCARRE,18.423,-66.109,"84,000.00"
"BIG WEST OIL LLC.333 W CENTER ST, NORTH SALT LAKE UTAH 84054 (DAVIS)",84054BGWST333WE,40.838,-111.921,"83,337.00"
"INDIANA HARBOR COKE CO LP.3210 WATLING MAIL CODE 2-990, EAST CHICAGO INDIANA 46312 (LAKE)",46312NDNHR3210W,41.656,-87.45,"80,870.36"
"OXBOW CALCINING LLC.2200 BROOKLAWN DR, BATON ROUGE LOUISIANA 70807 (EAST BATON ROUGE PARISH)",70807GRTLK2200B,30.583,-91.241,"80,745.00"
"CITGO REFINING & CHEMICALS CO LP-WEST PLANT.7350 INTERSTATE HWY 37, CORPUS CHRISTI TEXAS 78409 (NUECES)",78409CHMPL7350I,27.81,-97.498,"67,515.00"
"ALON USA-BIG SPRING REFINERY.IH 20 AT REFINERY RD, BIG SPRING TEXAS 79720 (HOWARD)",79721FNLNDIS20E,32.269,-101.418,"61,546.22"
"COUNTRYMARK REFINING & LOGISTICS LLC.1200 REFINERY RD, MOUNT VERNON INDIANA 47620 (POSEY)",47620NDNFR1200R,37.942,-87.908,"56,434.41"
"RAIN CII CARBON LLC.801 PROSPECT AVE, NORCO LOUISIANA 70079 (ST CHARLES PARISH)",70079CCRBN81PRS,30.002,-90.397,"54,976.97"
"DRUMMOND CO INC ABC COKE DIV.ONE RAILROAD AVE, TARRANT ALABAMA 35217 (JEFFERSON)",35217BCCKDRAILR,33.581,-86.781,"54,580.20"
"SHELL CHEMICAL LP (MOBILE SITE ).400 INDUSTRIAL PKWY EXT, SARALAND ALABAMA 36571 (MOBILE)",36571LLPTRINDUS,30.797,-88.084,"54,099.40"
"VALERO ENERGY PARTNERS THREE RIVERS.301 W LE ROY ST, THREE RIVERS TEXAS 78071 (LIVE OAK)",7807WVLRNR31WLE,28.458,-98.189,"51,436.00"
"HUNT REFINING CO A CORP.1855 FAIRLAWN RD, TUSCALOOSA ALABAMA 35401 (TUSCALOOSA)",35401HNTRF1855F,33.2,-87.607,"50,421.62"
"BUCKEYE TEXAS PROCESSING LLC-CORPUS CHRISTI.7209 UP RIVER RD, CORPUS CHRISTI TEXAS 78409 (NUECES)",7840WBCKYT151SU,27.816,-97.503,"49,972.62"
"OWENS CORNING - MEDINA.890 W SMITH RD, MEDINA OHIO 44256 (MEDINA)",44256WNSCR890WE,41.136,-81.891,"47,167.40"
"DELEK TYLER REFINERY.1702 E COMMERCE ST, TYLER TEXAS 75702 (SMITH)",75702LGLRL1702E,32.363,-95.28,"45,382.43"
"SUNCOKE ENERGY MIDDLETOWN OPERATIONS.3353 YANKEE ROAD, MIDDLETOWN OHIO 45044 (BUTLER)",4504WSNCKN3353Y,39.472,-84.397,"44,484.81"
"PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT.1520 E SEPULVEDA BLVD, CARSON CALIFORNIA 90745 (LOS ANGELES)",90745NCLCR1520E,33.805,-118.243,"41,903.20"
"KOPPERS FOLLANSBEE TAR PLANT.810 KOPPERS RD, FOLLANSBEE WEST VIRGINIA 26037 (BROOKE)",26037KPPRSKOPPE,40.34,-80.607,"40,101.20"
"TESORO ALASKA - KENAI REFINERY.MILE 22.5 KENAI SPUR HWY, KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",99611TSRLSMILE2,60.684,-151.367,"39,874.00"
"RAIN CII CARBON LLC LAKE CHARLES CALCINING PLANT (LCCP).1920 PAK TANK RD, SULPHUR LOUISIANA 70665 (CALCASIEU PARISH)",70665VNTRC1920P,30.148,-93.335,"33,851.80"
"ERP COMPLIANT COKE LLC.3500 35TH AVE N, BIRMINGHAM ALABAMA 35207 (JEFFERSON)",35207SLSSN35003,33.557,-86.8,"30,665.00"
"ERGON WEST VIRGINIA INC.9995 OHIO RIVER BLVD, NEWELL WEST VIRGINIA 26050 (HANCOCK)",26050RGNWSSTATE,40.611,-80.631,"29,836.89"
"SINCLAIR CASPER REFINING CO.5700 E HWY 20/26, CASPER WYOMING 82609 (NATRONA)",82609LTTLM5700E,42.513,-106.143,"28,741.40"
"CLINTON BIODIESEL LLC.5640 44TH AVENUE SOUTH, CLINTON IOWA 52732 (CLINTON)",5273WNVBFL56444,41.801,-90.32,"28,014.74"
"CALCASIEU REFINING CO.4359 W TANK FARM RD, LAKE CHARLES LOUISIANA 70605 (CALCASIEU PARISH)",70606CLCSRWESTE,30.134,-93.321,"27,560.00"
"CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY.1756 OLD HWY 7, COTTON VALLEY LOUISIANA 71018 (WEBSTER PARISH)",71018KRRMCLA7SO,32.801,-93.413,"27,176.44"
"KOPPERS INC CLAIRTON TAR PLANT.300 N STATE ST, CLAIRTON PENNSYLVANIA 15025 (ALLEGHENY)",15025RSTCH400ST,40.307,-79.886,"26,003.60"
"RAIN CII CARBON LLC.700 COKE PLANT RD, CHALMETTE LOUISIANA 70043 (ST BERNARD PARISH)",70043CHLMT7CKEP,29.938,-89.977,"22,038.24"
"VALERO PARTNERS MCKEE.6701 FM 119, SUNRAY TEXAS 79086 (MOORE)",7908WVLRPR671FM,35.952,-101.874,"20,747.20"
"VALERO PARTNERS LA LLC- TERMINAL.14902 RIVER RD, NORCO LOUISIANA 70079 (ST CHARLES PARISH)",7007WVLRPR1492R,29.985,-90.393,"20,735.00"
"RAIN CII CARBON LLC-PURVIS CALCINING PLANT.863 OLD RICHBURG RD, PURVIS MISSISSIPPI 39475 (LAMAR)",3947WRNCCR863LD,31.181,-89.386,"19,940.21"
