V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.COUNTY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FRS_ID,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.TRI_FACILITY_ID
SINCLAIR,CARBON,SINCLAIR WYOMING REFINING CO,110000468093,WY,82334SNCLREASTL
SHREVEPORT,CADDO,CALUMET LUBRICANTS & WAXES LLC,110000540317,LA,71109TLSPR3333M
THREE RIVERS,LIVE OAK,VALERO ENERGY PARTNERS THREE RIVERS,110070069246,TX,7807WVLRNR31WLE
THOMAS,CUSTER,VENTURA REFINING & TRANSMISSION,110006113062,OK,73669VNTRR24322
VICKSBURG,WARREN,PETRO SOURCE RESOURCES CORP VICKSBURG MS REFINERY,110007108619,MS,39180PTRSROLDHI
TEXAS CITY,GALVESTON,BP TEXAS CITY REFINERY DOCKS,110013763775,TX,77590BPTXSLOOP1
COMPTON,LOS ANGELES,DEMENNOKERDOON DBA WORLD OIL RECYCLING,110000474353,CA,90222DMNNK2000N
WARREN,WARREN,WEST PENN OIL CO INC130130,110010983864,PA,16365WSTPN1425M
BATON ROUGE,EAST BATON ROUGE PARISH,EXXONMOBIL CHEMICAL BATON ROUGE CHEMICAL PLANT (PART),110000449970,LA,70805XXNCH4999S
HOUSTON,HARRIS,HOUSTON REFINING LP,110058113704,TX,77017LYNDL12000
BILLINGS,YELLOWSTONE,EXXONMOBIL BILLINGS REFINERY,110000428421,MT,59101XXNBL700EX
MOUNT VERNON,POSEY,COUNTRYMARK REFINING & LOGISTICS LLC,110017866727,IN,47620NDNFR1200R
SAINT PAUL PARK,WASHINGTON,ST PAUL PARK REFINING CO LLC,110043813816,MN,55071SHLND100WT
BAKERSFIELD,KERN,ALON PETROLEUM BAKERSFIELD REFINERY AREAS 1 & 2,110017887330,CA,93308TXCRF6451R
WESTVILLE,GLOUCESTER,SPMT-EAGLE POINT TANK FARM,110000582101,NJ,08093CSTLGRTES1
OLD OCEAN,BRAZORIA,PHILLIPS 66 CO SWEENY REFINERY COMPLEX,110007182360,TX,77480PHLLPSH35A
WILMINGTON,LOS ANGELES,PENNZOIL-QUAKER STATE CO (DBA SOPUS PRODUCTS LALP),110067041061,CA,90744TXCRF1926E
SAINT PAUL,RAMSEY,FLINT HILLS RESOURCES PINE BEND LLC ST PAUL,110001444884,MN,55106KCHMT2209C
BELCHER,CADDO,IDA GASOLINE CO INC,110002129349,LA,71004DGSLN7558B
ARROYO GRANDE,SAN LUIS OBISPO,CONOCOPHILLIPS SANTA MARIA FACILITY CARBON PLANT,110069447021,CA,93420NCLCH2565W
SAINT MARYS,PLEASANTS,ST MARYS REFINING CO,110000620864,WV,26170MDTLN201BA
ROXANA,MADISON,WOOD RIVER REFINERY,110041962873,IL,62084SHLLLRTE11
WESTLAKE,CALCASIEU PARISH,PHILLIPS 66 LAKE CHARLES REFINERY,110000539757,LA,70669CNCLKOLDSP
CARSON,LOS ANGELES,CHEMOIL TERMINALS CORP,110000476413,CA,90810CRSNT2365E
SARALAND,MOBILE,SHELL CHEMICAL LP (MOBILE SITE ),110012509071,AL,36571LLPTRINDUS
DUBACH,LINCOLN PARISH,DUBACH GAS CO.,110007296942,LA,71235DBCHGWESTO
OREGON,LUCAS,TOLEDO REFINING CO LLC,110010534261,OH,43616SNRFN1819W
MOBILE,MOBILE,ALABAMA BULK TERMINAL CO LLC,110000369583,AL,36633LBMBLHWY90
DEER PARK,HARRIS,DEER PARK REFINING LP,110067040856,TX,77536DRPRK5900H
KENAI,KENAI PENINSULA BOROUGH,CHEVRON USA INC.  ALASKA REFY.,110002465733,AK,99611CHVRNMILE2
LAWRENCEVILLE,LAWRENCE,AMERICAN WESTERN REFINING LP,110001138876,IL,62439NDNRFSOUTH
ELY,NYE,PETRO SOURCE REFINING PARTNERS  EAGLE SPRINGS REFINERY,110069446148,NV,89301PTRSRSTARR
LINDEN,UNION,EXXON CO EASTSIDE CHEMICAL PLANT,110064022481,NJ,07036XXNST1400P
CHANNELVIEW,HARRIS,DOW HALTERMANN PLANT 2,110000463196,TX,77530HWLLC1201S
PONCA CITY,KAY,PHILLIPS 66 PONCA CITY SITE,110015682830,OK,74603CNCPN1000S
SALT LAKE CITY,SALT LAKE,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,110000469485,UT,84116CHVRN2351N
SANTA FE SPRINGS,LOS ANGELES,GOLDEN WEST REFINING CO,110010478571,CA,90670GLDNW13539
COOLIDGE,PINAL,SUNBELT REFINING CO,110000781039,AZ,85228SNBLT5415E
SAVAGE,SCOTT,FLINT HILLS RESOURCES PINE BEND LLC SAVAGE,110008820099,MN,55378KCHMT12101
SILSBEE,HARDIN,SOUTH HAMPTON RESOURCES INC,110000464097,TX,77656STHHMFM418
ROBINSON,CRAWFORD,MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,110000439428,IL,62454MRTHNMARAT
CORPUS CHRISTI,NUECES,CITGO REFINING & CHEMICALS CO LP-WEST PLANT,110000465041,TX,78409CHMPL7350I
KAPOLEI,HONOLULU,IES DOWNSTREAM LLC - KAPOLEI REFINERY,110000486304,HI,96707CHVRN91480
SANTA MARIA,SANTA BARBARA,SANTA MARIA REFINERY (DBA GREKA ENERGY ),110000481817,CA,93454CNCSN1660S
CORPUS CHRISTI,NUECES,KOCH REFINING CO NO 2 TERMINAL,110008169490,TX,78402KCHRFTRIBB
LAKE CHARLES,CALCASIEU PARISH,PELICAN REFINING CO LLC,110000549513,LA,70616GLDLN4646H
DEER PARK,HARRIS,LUBRIZOL CORP DEER PARK FACILITY,110056537804,TX,77536LBRZL41TID
PASCAGOULA,JACKSON,MARTIN OPERATING PTNR PASCAGOULA TERMINAL,110002107997,MS,39581MDSTR5320I
PASADENA,HARRIS,PASADENA REFINING SYSTEM INC,110000462703,TX,77506CRWNC111RE
CARSON,LOS ANGELES,PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,110038102969,CA,90745NCLCR1520E
PARAMOUNT,LOS ANGELES,PARAMOUNT PETROLEUM CORP,110000475940,CA,90723PRMNT14700
ODESSA,ECTOR,EQUILON ENTERPRISES LLC ODESSA TERMINAL,110063667599,TX,79760SHLLLSOUTH
YABUCOA,YABUCOA,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),110000580915,PR,00767YBCSNROUTE
CHURCH POINT,ACADIA PARISH,CANAL REFINING CO.,110022409035,LA,70525CNLRFHWY17
GUAYAMA,GUAYAMA,CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE LLC,110000602740,PR,00654PHLPSPHILI
NEWCASTLE,WESTON,WYOMING REFINING CO,110000468226,WY,82701WYMNG740WE
RICHMOND,CONTRA COSTA,CHEVRON PRODUCTS CO RICHMOND REFINERY,110020506460,CA,94802CHVRN841ST
BAYAMON,BAYAMON,PUMA ENERGY CARIBE LLC,110008471956,PR,00619CRBBNLUCHE
CORPUS CHRISTI,NUECES,JAVELINA CO,110000713728,TX,78407JVLNC5314I
VALDEZ,VALDEZ-CORDOVA CENSUS ARE,PETRO STAR VALDEZ REFINERY,110041977162,AK,99686PTRST25MIL
CORPUS CHRISTI,NUECES,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT,110000504918,TX,78410KCHRFSUNTI
VICKSBURG,WARREN,ERGON REFINING INC,110000376575,MS,39181RGNRFPOBOX
COTTON VALLEY,WEBSTER PARISH,CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY,110000597471,LA,71018KRRMCLA7SO
PORT ARTHUR,JEFFERSON,CHEVRON PORT ARTHUR LUBRICANTS PLANT,110018936099,TX,77640CHVRNENDOF
LIMA,ALLEN,LIMA REFINING CO,110000395475,OH,45804SHLCM1150S
BLUE ISLAND,COOK,BLUE ISLAND PHENOL LLC,110056961257,IL,60406BTLSP131ST
BEAUMONT,JEFFERSON,LNVA-NORTH REGIONAL TREATMENT PLANT,110000464140,TX,77704NCHSRGULFS
FREEPORT,BRAZORIA,PHILLIPS 66 CO FREEPORT I TERMINAL,110041921034,TX,77480PHLLPFM14A
